                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.77033,                0.44702,                0.98519,                0.96443,                0.96285,                0.97824,                0.80556,                0.81702,                0.36489,                 0.9606,              0.0003095,              0.0003095,              0.0003095
                     79,                0.77371,                0.44762,                0.98503,                0.97237,                0.95824,                0.97868,                0.80675,                0.82264,                0.36987,                0.96584,             0.00029713,             0.00029713,             0.00029713
                     80,                0.76611,                0.44823,                0.97824,                0.95963,                0.96709,                0.98246,                0.80852,                0.81553,                0.36821,                0.95624,             0.00028475,             0.00028475,             0.00028475
                     81,                0.76943,                0.43905,                0.98359,                0.96091,                0.96695,                0.98439,                0.81348,                0.81484,                0.36999,                0.95611,             0.00027237,             0.00027237,             0.00027237
                     82,                0.76458,                0.44038,                0.97653,                 0.9703,                0.95787,                0.97839,                0.80997,                0.81101,                0.36346,                0.95614,                0.00026,                0.00026,                0.00026
                     83,                0.76312,                0.44951,                0.98022,                0.97157,                0.96561,                0.98084,                 0.8106,                0.81519,                   0.36,                0.95926,             0.00024762,             0.00024762,             0.00024762
                     84,                0.75922,                0.43596,                0.97923,                0.97073,                0.96675,                0.98109,                0.81242,                 0.8192,                0.36384,                0.96118,             0.00023525,             0.00023525,             0.00023525
                     85,                0.75447,                0.43213,                0.97806,                0.96533,                 0.9686,                0.98067,                0.80654,                0.81277,                0.36399,                0.95813,             0.00022288,             0.00022288,             0.00022288
                     86,                0.75348,                 0.4328,                 0.9783,                0.96318,                 0.9642,                0.98185,                0.81252,                0.81402,                0.36007,                0.95884,              0.0002105,              0.0002105,              0.0002105
                     87,                0.74296,                0.42649,                0.96801,                0.97209,                0.96692,                0.98172,                0.81456,                0.80942,                0.35721,                0.95481,             0.00019813,             0.00019813,             0.00019813
                     88,                0.74207,                0.42526,                0.97276,                0.96732,                0.97027,                0.97891,                0.80912,                0.81633,                0.35887,                0.96147,             0.00018575,             0.00018575,             0.00018575
                     89,                0.74114,                0.42162,                0.97191,                0.97459,                0.96779,                0.98127,                0.80857,                0.81411,                0.35557,                0.96117,             0.00017338,             0.00017338,             0.00017338
                     90,                0.73815,                0.42204,                 0.9688,                0.97597,                0.96477,                0.97768,                0.80937,                0.81539,                 0.3575,                0.96407,               0.000161,               0.000161,               0.000161
                     91,                 0.6676,                0.31513,                0.91002,                0.97358,                0.95859,                0.97985,                0.80496,                0.81982,                 0.3589,                0.95928,             0.00014862,             0.00014862,             0.00014862
                     92,                0.65403,                 0.3024,                0.90598,                0.97846,                0.96374,                0.97905,                0.80779,                0.81791,                0.35251,                0.96024,             0.00013625,             0.00013625,             0.00013625
                     93,                0.64859,                0.29924,                0.90223,                0.97962,                0.96145,                0.98285,                0.81267,                0.81602,                 0.3547,                 0.9588,             0.00012387,             0.00012387,             0.00012387
                     94,                0.64395,                0.29735,                0.90015,                0.96561,                0.97088,                 0.9793,                0.81001,                0.81621,                0.35029,                0.96031,              0.0001115,              0.0001115,              0.0001115
                     95,                0.64559,                0.29754,                0.89883,                0.97776,                0.96551,                0.98119,                0.81084,                 0.8126,                0.35223,                 0.9576,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.63741,                0.29471,                0.89647,                0.97665,                0.96493,                0.98076,                0.81331,                0.81091,                 0.3513,                0.95832,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                 0.6329,                 0.2931,                0.89329,                 0.9779,                0.96688,                0.98076,                0.81348,                0.80893,                0.34975,                0.95802,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.63049,                0.28958,                0.89215,                0.97422,                0.96804,                0.98073,                  0.813,                0.81208,                0.34984,                0.95734,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.62464,                0.28688,                0.89262,                0.97256,                0.96903,                0.98078,                0.81119,                 0.8134,                0.34787,                0.96001,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.62873,                0.28875,                0.89072,                0.97592,                 0.9704,                0.97962,                0.81284,                0.81047,                0.34486,                0.95948,              3.725e-05,              3.725e-05,              3.725e-05
